ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
RGSE,1425565,3/31/09,2.19,2.01,2.01,2.14,2.14,2.14,28.7M
RGSE,1425565,3/16/10,3.44,3.42,3.42,3.32,3.32,3.32,28.7M
RGSE,1425565,3/11/11,2.57,2.48,2.48,2.6,2.6,2.6,28.7M
RGSE,1425565,3/15/12,1.49,1.5,1.5,1.45,1.45,1.45,28.7M
RGSE,1425565,4/1/13,NA,NA,NA,NA,NA,NA,28.7M
RGSE,1425565,3/31/14,NA,NA,NA,NA,NA,NA,28.7M
RH,1528849,4/29/13,NA,NA,NA,NA,NA,NA,3.413B
RH,1528849,3/31/14,NA,NA,NA,NA,NA,NA,3.413B
RHP,1040829,3/31/98,34.88,35.75,25.68,34.62,34.62,24.87,2.677B
RHP,1040829,3/31/99,25.5,24.25,17.85,25.25,25.25,18.58,2.677B
RHP,1040829,3/30/00,27.12,27.06,20.31,27.06,27.06,20.31,2.677B
RHP,1040829,4/2/01,NA,NA,NA,NA,NA,NA,2.677B
RHP,1040829,4/1/02,NA,NA,NA,NA,NA,NA,2.677B
RHP,1040829,3/31/03,NA,NA,NA,NA,NA,NA,2.677B
RHP,1040829,3/12/04,31.35,30.9,23.19,31.2,31.2,23.41,2.677B
RHP,1040829,3/14/05,NA,NA,NA,NA,NA,NA,2.677B
RHP,1040829,3/15/06,44.68,45.1,33.84,44.78,44.78,33.6,2.677B
RHP,1040829,2/28/07,52.25,53.79,40.37,52.15,52.15,39.14,2.677B
RHP,1040829,2/28/08,32.14,30.56,22.93,32.34,32.34,24.27,2.677B
RHP,1040829,3/2/09,NA,NA,NA,NA,NA,NA,2.677B
RHP,1040829,2/26/10,22.98,22.51,16.89,22.88,22.88,17.17,2.677B
RHP,1040829,2/25/11,34.94,36.02,27.03,34.75,34.75,26.08,2.677B
RHP,1040829,2/24/12,29.42,29.74,22.32,29.33,29.33,22.01,2.677B
RHP,1040829,2/27/13,43.84,44.6,40.86,43.75,43.75,40.08,2.677B
RHP,1040829,2/28/14,42.2,42.19,40.7,42.1,42.1,40.61,2.677B
RHSC,7951,12/17/08,NA,NA,NA,NA,NA,NA,1.5M
RHSC,7951,12/22/09,NA,NA,NA,NA,NA,NA,1.5M
RHSC,7951,12/29/11,1.5,1.5,1.5,1.5,1.5,1.5,1.5M
RHSC,7951,1/15/13,0.4,0.4,0.4,0.4,0.4,0.4,1.5M
RHWI,1088734,4/16/03,0.01,0.01,6720.02,0.01,0.01,6720.02,53K
RIBS,1445918,3/31/10,NA,NA,NA,NA,NA,NA,14.9M
RIBS,1445918,4/14/11,1.05,1.05,1.05,1.05,1.05,1.05,14.9M
RIBS,1445918,3/27/12,0.8,0.8,0.8,0.8,0.8,0.8,14.9M
RIBS,1445918,3/8/13,2.9,2.9,2.9,2.9,2.9,2.9,14.9M
RIBS,1445918,3/19/14,0.49,0.49,0.49,0.48,0.48,0.48,14.9M
RIBT,1063537,4/2/07,NA,NA,NA,NA,NA,NA,36.5M
RIBT,1063537,3/17/08,NA,NA,NA,NA,NA,NA,36.5M
RIBT,1063537,10/20/09,0.16,0.16,32,0.16,0.16,32,36.5M
RIBT,1063537,2/24/11,0.37,0.37,74,0.37,0.37,74,36.5M
RIBT,1063537,3/31/11,0.37,0.37,74,0.36,0.36,72,36.5M
RIBT,1063537,3/30/12,0.14,0.14,28,0.14,0.14,28,36.5M
RIBT,1063537,4/1/13,NA,NA,NA,NA,NA,NA,36.5M
RIBT,1063537,3/31/14,NA,NA,NA,NA,NA,NA,36.5M
RICK,935419,12/17/09,7.55,7.95,7.95,7.5,7.5,7.5,98.4M
RICK,935419,12/14/10,7.31,7.3,7.3,7.26,7.26,7.26,98.4M
RICK,935419,12/14/11,8.11,8.31,8.31,8.19,8.19,8.19,98.4M
RICK,935419,12/14/12,7.88,7.89,7.89,7.84,7.84,7.84,98.4M
RICK,935419,12/16/13,NA,NA,NA,NA,NA,NA,98.4M
RIG,1451505,2/26/09,59.33,59.76,50.43,58.1,58.1,49.03,6.604B
RIG,1451505,2/24/10,82.05,79.85,67.38,84.51,84.51,71.31,6.604B
RIG,1451505,2/28/11,NA,NA,NA,NA,NA,NA,6.604B
RIG,1451505,2/27/12,NA,NA,NA,NA,NA,NA,6.604B
RIG,1451505,3/1/13,51.76,52.15,46.76,52.3,52.3,46.89,6.604B
RIG,1451505,2/27/14,43.39,42.55,39.95,43.01,43.01,40.38,6.604B
RIHT,1506270,12/27/11,NA,NA,NA,NA,NA,NA,21.7M
RIHT,1506270,12/31/12,NA,NA,NA,NA,NA,NA,21.7M
RIHT,1506270,12/30/13,NA,NA,NA,NA,NA,NA,21.7M
RIHT,1506270,3/25/14,0.88,0.85,0.85,0.88,0.88,0.88,21.7M
RIIC,1079574,4/15/08,NA,NA,NA,NA,NA,NA,751K
